店名,カテゴリ,緯度,経度,住所,最寄駅,メニュー,営業時間,定休日,電話,辛さ,テイクアウト,ガイドブックページ,位置概算,公式ページ
ムアンタイ～west India kitchen～,南インド・スリランカ,35.694813,139.759163,千代田区神田神保町1-35-2,地下鉄神保町駅A7徒歩3分,"南インドカレー(スープ・サラダ付) ￥1,210(ランチ） / カオソーイ(スープ・サラダ付) ￥1,210（ランチ） / タイスキミックス 1人前￥3,300(2名様〜要予約）",ランチ 11:00～15:00（LO14:30） / ディナー 18:00～23:00（LO22:00）,土・日・祝・年末年始,03-5577-7511,中辛,あり,44,,https://kanda-curry.com/タイスキレストラン%E3%80%80ムアン・タイ・なべ/
CURRY BAR CAFE 三月の水,東南アジア・中国,35.696436,139.760936,千代田区神田小川町3-14-2漢陽ビル3階,地下鉄 神保町駅 A5出口 徒歩3分,"無水ココナッツ国産牛すじカレー ￥1,530／ランチ￥1,380 / 無水ココナッツ牡蠣カレー¥1,680／ランチ¥1,530 / 無水ココナッツ豚バラ角煮カレー¥1,570／ランチ¥1,420","ランチ 11:30～14:30(LO14:00) / バー 18:30～24:00（LO23:00）",日・祝、土曜日不定休、お盆、年末年始,03-5281-7670,あまり辛くない,あり,44,,https://kanda-curry.com/三月の水/
九段下 wata軒,東南アジア・中国,35.695924,139.751722,千代田区九段北1-3-12 嘉仲ビル1F,地下鉄 九段下駅5番出口 徒歩1分,"燻製ココナッツレッドカレー ￥1200（ランチのみ） / ガパオライス ￥1,100 / おつまみカレー ￥800（ディナーのみ）",平日ランチ 12:00～15:00（LO14:30） / 月～金ディナー 17:00～24:00（LO23:00） / 土曜日ディナー 18:00～23:30（LO23:00）,土ランチ・日・祝、夏季休暇、年末年始,050-1240-3521,中辛,あり,45,,https://kanda-curry.com/?p=11874
SADEC TOKYO,東南アジア・中国,35.693289,139.766905,千代田区神田司町2-5-7,丸の内線 淡路町駅A6出口徒歩3分,"牛バラ肉カレー ￥1,500 / チキンカレー ￥1,400 / フーティウ（米麺料理）￥1,000～",平日ランチ 11:00~14:30(LO14:00)  / 平日ディナー 17:00~22:00(LO21:30)  / 土曜日ランチ 10:30~14:30(LO14:00)  / 土曜日ディナー17:00~22:00(LO21:30),日・祝、年末年始,03-5280-7115,調整可能,あり,45,,https://kanda-curry.com/?p=15403
JICCA,東南アジア・中国,35.695529,139.763514,千代田区神田小川町2-6 小池ビルB1F,地下鉄小川町駅B5出口 徒歩3分 / 地下鉄新御茶ノ水駅B3b出口 徒歩3分 / 地下鉄神保町駅A5出口 徒歩8分,"メインメニュー： / 茄子の麻辣キーマとルーローハン ランチ￥1,300／ディナー￥1,430 / その他メニュー： / キーマとルーローハン ランチ￥1,300／ディナー￥1,430 / チーズキーマとルーローハン ランチ￥1,500／ディナー￥1,650",平日ランチ 11:30〜14:00（LO13:30） / 平日ディナー 17:30〜22:30（LO21:30）,土日祝、年末年始、お盆,03-5801-6172,調整可能,あり,45,,https://kanda-curry.com/?p=19826
タイ料理ジャンピー,東南アジア・中国,35.694048,139.77014,千代田区神田鍛冶町3-5-2 工藤ビル1F,地下鉄神田駅 A4出口 徒歩2分 / JR神田駅 北口 徒歩3分 / 小川町・淡路町駅 A1出口 徒歩4分,"プーパッポンカレー（ディナー限定） ￥2,290/ハーフ￥1,880 / ガイガパオ ランチ￥1,090/ディナー￥1,260 / グリーンカレー ランチ￥1,090/ディナー￥1,260",平日ランチ 11:15～15:00(LO14:45)  / 平日ディナー 17:00～22:30(LO22:00) / 土曜ランチ 11:30～15:00(LO14:45)  / 土曜ディナー 17:00～21:30(LO21:00),日・祝、年末年始,03-6206-8987,調整可能,あり,46,,https://kanda-curry.com/?p=2250
タイレストラン メナムのほとり 神保町本店,東南アジア・中国,35.695434,139.757692,千代田区神田神保町1-13-10 西インド会社本社ビル1・2F,地下鉄神保町駅A7出口 徒歩1分,"グリーンカレー ¥1,650 / ソフトシェルのカレー炒め ￥2,200 / 豚肉入り森のカレー ￥1,760",平日ランチ 11:00～15:00（LO） / 平日ディナー 17:30～22:00（LO） / 土日祝ランチ 11:00～16:30（LO） / 土日祝ディナー 16:30～21:00（LO）,年末年始,03-3238-9597,辛い,あり,46,,https://kanda-curry.com/メナムのほとり-2/
チャントーヤ ココナッツ カリー,東南アジア・中国,35.696219,139.76302,千代田区神田小川町3-28-7 昇龍館ビル1Ｆ,ＪＲ御茶ノ水駅・聖橋口より徒歩７分 / 神保町駅・Ａ５出口より徒歩７分 / 新御茶ノ水駅・Ｂ３出口より徒歩５分 / 小川町駅・Ｂ５出口より徒歩５分,"⑫ひき肉とじゃがいもとトマトの焼チーズカリー ￥1,400 / ⑤チキンとほうれん草のふんわり卵カリー ￥1,250 / ③野菜カリー ￥1,250",平日 ランチ 11：00～15：00 / 平日ディナー 15：00～22：00（ＬＯ21：30） / 土日祝 11：00～21：00（ＬＯ20：30）,年末年始,03-5281-4747,ふつう〜激辛（選べます）,あり,46,,https://kanda-curry.com/?p=786
中国料理 翠,東南アジア・中国,35.692009,139.737698,千代田区九段北4-2-25 アルカディア市ヶ谷 私学会館 2F,JR市ヶ谷駅 徒歩2分,"翠式カリー炒飯 ¥1,210 / 龍醤担担麺(伊勢海老風味の担担麺) ¥1,430 / フカヒレ姿煮重・ランチ¥2,970/ディナー ¥3,300",ランチ 11:00~14:30(LO)  / 平日ディナー 17:00~21:30(LO20:50)  / 土曜ディナー 17:00~21:00(LO20:20),日・祝、年末年始,03-6685-0544,中辛,あり,47,,https://kanda-curry.com/中国料理-翠/
バンコックコスモ食堂,東南アジア・中国,35.69872,139.756486,千代田区西神田2-1-13 櫻井ビル1F,地下鉄神保町A4出口 徒歩4分 / JR水道橋東口 徒歩4分,"チェンマイカレー ランチ￥900／ディナー￥1,000 / カレー（グリーン＋チェンマイ）セット ¥950 / カオソイ（チェンマイカレー拉麺） ¥1,100（ディナーのみ）",平日ランチ 11:00～17:00（LO） / 平日ディナー 17:00～22:30（LO21:45） / 土日祝ランチ 11:00～15:00（LO14:30） / 土日祝ディナー 17:30～22:30（LO21:45）,年末年始,03-6261-1977,調整可能,あり,47,,https://kanda-curry.com/バンコックコスモ食堂/
バンコック ポニー食堂 岩本町店,東南アジア・中国,35.694774,139.776568,千代田区岩本町3-3-14 CMビル1F,地下鉄 岩本町駅A5出口 徒歩2分 / 地下鉄 秋葉原駅4出口 徒歩4分 / JR 秋葉原駅昭和通り口 徒歩7分,"カオソーイ ランチ￥950／ディナー￥1,100 / チェンマイカレー ランチ ¥900/ディナー¥1,000 / パネーンムー ¥950(ディナーのみ)",ランチ 11:15~15:00(LO14:30)  / ディナ 17:30~23:00(LO21:30),年末年始,03-5839-2959,調整可能,あり,47,,https://kanda-curry.com/バンコック-ポニー食堂-岩本町店/
メナムのほとり 神保町テラススクエア店,東南アジア・中国,35.693517,139.760147,千代田区神田錦町3-22 テラススクエア2F,都営三田線神保町駅A9出口徒歩２分,"メナムセット ¥1,480 / グリーンカレーセット ¥1,100 / ガパオセット ¥1,250",平日ランチ 11:30～ 15:00（LO） / 平日ディナー 17:30～22:00（LO21:00）,土・日・祝、年末年始,03-5577-4494,やや辛い,なし,48,,https://kanda-curry.com/メナムのほとり-神保町テラススクエア店/
＆スリランカTOKYO（旧RスリランカTOKYO）,スープ,35.698233,139.757185,千代田区神田神保町1-54-5 JHVビル1F,地下鉄神保町駅A5出口 徒歩３分 / JR水道橋駅西口 徒歩５分,"豚肩ロースステーキカレー ￥1,500 / ドライカレー ￥1, 100 / ガーリックシュリンプカレー ￥1,300",11:00～21:30（LO21:00）,年末年始,03-5280-7066,調整可能,あり,48,,https://kanda-curry.com/?p=15400
Eblack （エブラック）,スープ,35.693936,139.762722,千代田区神田小川町3-11 ダイワビルB1階,都営新宿線小川町駅B7 出口徒歩5分,"スープカレー ランチ￥1,100～／ディナー￥1,100 / カクテル ￥800～ / ウイスキー ￥700～","ランチ月～金 11:40～14:00 / ディナー月～金 18:00～25:00",土・日・祝、年末年始,03-3294-5671,辛い,あり,48,,https://kanda-curry.com/?p=486
オオドリー＜鴻＞ 神田駿河台店,スープ,35.696331,139.761365,〒101-0052東京都千代田区神田小川町3-10-18,ＪＲ線 御茶ノ水駅 御茶ノ水橋口、 / 都営地下鉄 神保町駅 Ａ５,"赤、黒2種スープカレー ￥1,650 / 野菜カレー（赤・黒スープ） ￥1,200 / チキンレッグカレー（赤・黒スープ） ￥1,400",10:30〜20:00（LO19:30）,年末年始,03-5280-8228,辛い,あり,49,,https://kanda-curry.com/?p=520
オオドリー〈鴻〉神保町すずらん通り店,スープ,35.695049,139.760268,東京都千代田区神田神保町1-25,地下鉄神保町A7出口より徒歩３分,"赤スープカレー炙りチキン入り ￥1,400 / 野菜カレー（赤・黒スープ） ￥1,200 / 黒毛和牛100％ハンバーグカレー（赤・黒スープ） ￥1,450",月～土ランチ 11:00～14:30（LO14:00） / 月火木金ディナー 17:00～21:00（LO20:30）,日、お盆、年末年始,03-5280-9211,普通,あり,49,,https://kanda-curry.com/?p=2619
カレー食堂 心 秋葉原店,スープ,35.70071,139.770604,千代田区外神田3-11-4 アパホテル秋葉原駅電気街口1F,地下鉄末広町駅 3番出口 徒歩3分 / JR秋葉原駅電気街口 徒歩5分,"手ごねラムハンバーグのスープカレー ￥1,850 / 1日分野菜のスープカレー ￥1,690 / もち豚ポークスパイスカレー ￥1,390",11:00～22:00(LO21:30),年末年始,03-6271-7223,調整可能,あり,49,,https://kanda-curry.com/カレー食堂-心-秋葉原店/
札幌スープカレー絲 神保町店,スープ,35.696175,139.759325,千代田区神田神保町1-6 樋谷ビル 1F・2F,神保町駅 A5出口 徒歩1分,"骨なし煮込みチキン ¥1,450 / 北海道ザンギ ￥1,400 / よくばり絲Special ￥2,950",ランチ 11:00~16:00(LO15:30)  / ディナー 17:00~21:00(LO20:30),不定休、年末年始,03-6811-0708,調整可能,あり,50,,https://kanda-curry.com/?p=16626
イチガヤキッチン ワキータ,麺・パン,35.691827,139.737902,千代田区九段北4-2-7,JR市ヶ谷駅 徒歩2分,"牛筋カレーラーメン ¥1,000 / 日替わり豚汁定食 ¥950 / 味噌豚カツ定食 ¥1,200",ランチ 11:00~14:30(LO) / ディナー 17:00~22:00(LO),土日祝、年末年始,03-6272-8329,調整可能,あり,50,,https://kanda-curry.com/?p=16729
お好み焼 ねぎ焼 十々,麺・パン,35.696263,139.761105,千代田区神田小川町3-10-15 T&AビルB1F,地下鉄神保町駅 A5出口より徒歩約3分 / JR御茶ノ水駅 御茶ノ水橋口より徒歩5分,"謹製牛すじカレーやきそば ランチ￥1,200／ディナー￥1,400 / 平日ランチ11:30～13:45（LO13:30）と平日ディナー17:30～18:45（LO18:30）（なくなり次第終了） / ぶた玉 ランチ￥800／ディナー￥1,050 / ぶたチーズ玉 ランチ￥900／ディナー￥1,250",平日ランチ 11:30～13:45（LO13:30） / 平日ディナー 17:30～18:45（LO18:30）,土日祝、お盆、年末年始,03-5577-6552,辛くない,あり,50,,https://kanda-curry.com/?p=13272
厳選煮干しらーめん 初代 にぼ助,麺・パン,35.698819,139.76426,千代田区神田駿河台2-10-6 ボルトお茶の水1階,JR御茶ノ水駅聖橋口 徒歩2分,"ミャンマーシェフ直伝 本格カレーまぜそば ￥1,500 / 特製にぼ助らーめん ¥1,350 / 特製にぼ助つけ麺 ¥1,400",平日ランチ 11:00~15:00(LO)  / 平日ディナー 17:00~22:00(LO) / 土日祝 11:00~15:00(LO),お盆、年末年始,03-5244-5499,調整可能,あり,51,,https://kanda-curry.com/?p=15484
神保町イタリアン Cuore d’oro,麺・パン,35.696778,139.758307,千代田区神田神保町1-14-16 2F,地下鉄 神保町駅 A5出口 徒歩2分,"ショートパスタと食べるスペアリブカレー ¥1,700 / 玄米のクスクスと食べるスペアリブカレー ￥1,700 / スペアリブカレー クラフトビール付 ¥2,100",火～土ランチ 11:30～13:30（LO） / ディナー 17:30～21:00（LO）,月ランチ・日・祝、お盆、年末年始,03-3518-2307,中辛,なし,51,,https://kanda-curry.com/?p=9668
蕎麦ダイニング 煉 神田店,麺・パン,35.696447,139.774289,千代田区神田須田町2-13-10 アーバイル神田EAST 1F,都営新宿線岩本町駅 A2出口 徒歩2分 / JR秋葉原駅 徒歩5分,"肉タンタンカレー蕎麦・うどん ￥1,130 / 豚バラカレー蕎麦・うどん ￥980 / 肉タンタン納豆カレーランチ（ミニ蕎麦付き） ￥1,130",ランチ 11:30～14:30（LO14:00） / ディナー 17:30～22:30（LO22:00） / カレーの提供もはランチのみです。どうぞよろしくお願いいたします。,土・日・祝、お盆、年末年始,03-5289-7630,やや辛い,なし,51,,https://kanda-curry.com/?p=9650
PIZZA K 新御茶ノ水店,麺・パン,35.696338,139.762717,千代田区神田小川町3-26-20 大築ビル1F,地下鉄 新御茶ノ水駅 B3b出口徒歩3分,"本場ネパールカレーパスタ / ￥1,400 / マルゲリータ ￥880 / ナポレターナ ￥1, 320",ランチ 月〜金 11:00～15:30（LO15:00） / ランチ 土日祝 11:30～15:30（LO15:00） / ディナー 月〜土 17:00～23:00（LO22:00）,日祝ディナー、お盆,03-5571-4391,調整可能,あり,52,,https://kanda-curry.com/pizza-k/
ブラザーズ御茶の水店,麺・パン,35.696208,139.763002,千代田区神田小川町3-28-7-102,JR御茶ノ水駅聖橋口 徒歩6分 / 地下鉄小川町駅B5出口 徒歩5分 / 地下鉄新御茶ノ水駅B3b出口 徒歩3分,"メインメニュー： / カントリーキャプテン（スパイスポークカレー）バーガー ￥2,200 / その他 / ハンバーガー ￥1,595 / チリビーンズバーガー ￥1,870",11:00～21:30（LO21:00）,1/1・1/2,03-6260-5801,やや辛い,あり,52,,https://kanda-curry.com/?p=19820
ミスターラーメン,麺・パン,35.7038,139.77243,千代田区外神田5-2-13,地下鉄末広町駅2番出口 徒歩1分 / JR御徒町駅南口 徒歩7分,"牛タンカレーまぜそば ￥1,200 / シャリシャリ冷麺 ￥1,000 / 背脂煮干しそば ￥1,000",平日 11:30～14:00（LO13:30） / 土日祝 11:30～15:00（LO14:30）,年末年始,03-5846-2929,中辛,あり,52,,https://kanda-curry.com/?p=18704
最上楽農園,麺・パン,35.692497,139.769211,千代田区内神田3-24-5 エッサム神田ホール2号館2F,JR神田駅 北口 徒歩2分 / 銀座線神田駅 2番出口 徒歩2分 / 丸ノ内線淡路町駅 A2出口 徒歩5分,"いも煮カレーうどん ¥1,500 / スパイシーカレーせいろ ¥1,100 / 牛スジ煮込せいろ ¥1,100",11:00 ~ 21:00(LO20:30),土・日・祝、年末年始(12/29~1/4),03-5298-6912,中辛,なし,53,,https://kanda-curry.com/?p=15501
ワイルドレッドパスタ神保町店,麺・パン,35.696079,139.754456,千代田区神田神保町3-2,地下鉄神保町駅A2出口徒歩2分 / 地下鉄九段下駅5出口徒歩3分,"チキンレッドカレーパスタ ￥1,280 / シメのバターライス ￥200 / からいトマトパスタ ￥990",ランチ 11:30～15:00（LO） / ディナー 17:00～21:00（LO）,日、お盆、年末年始,080-2926-4440,やや辛い,あり,53,概算,https://kanda-curry.com/?p=18679
AKL 〜カレーなる酒場〜,その他・オリジナル,35.694647,139.768093,千代田区神田司町2-10-19 1F,地下鉄淡路町駅 A1 A2出口徒歩3分 / 地下鉄小川町駅 A1 A2出口徒歩3分,カレーボウル 各種 ￥800～（ランチのみ） / カレーのあたま（キーマのルー） ￥200（ディナー） / 生ビール ￥500（ディナー）,ランチ 11:30～13:30（LO） / ディナー（立ち飲み） 19:00～21:00（LO） / ※変更する場合があるので、詳しくは、公式ホームページをご確認ください / https://aklcurry.jp/,土・日・祝、年末年始,akl.tellu@gmail.com,辛い,あり,53,,https://kanda-curry.com/?p=5151
秋葉原 カリガリ,その他・オリジナル,35.70283,139.770021,"〒101-0021
千代田区外神田3-6-9 沖村ビル1F",地下鉄 末広町駅3番 徒歩1分,"アキバ盛りカレー ￥1,460（ランチ￥1,230） / カリガリカレー ￥950（ランチ￥890） / インドカレー ￥950（ランチ￥890）",平日 11:30〜15:00（LO 14:30） /  17:00〜22:00（LO21:30） / 土日祝 11:00〜22:00（LO21:30）,年末年始,03-3527-1262,辛い,あり,54,,https://kanda-curry.com/?p=3439
居酒屋kater,その他・オリジナル,35.696056,139.774292,千代田区神田須田町2-11-8 玉甚ビルC,岩本町駅 A2番出口 徒歩1分 / 秋葉原駅 昭和通り改札 徒歩5分,"チキンキーマカレー ¥1,300 / Schweine schnitzel 定食 ¥1,500 / 自家製山椒サワー ¥768",月～土ランチ 11:30～14:00（LO13:45） / ディナー 17:30～23:00（LO22:00）,日・祝、水ディナー、お盆、年末年始,070-8975-5716,調整可能,なし,54,,https://kanda-curry.com/?p=16747
いわし料理 大松,その他・オリジナル,35.693875,139.772227,千代田区鍛冶町2-10-7 フェスタビル 1Ｆ,銀座線神田駅 3番出口 徒歩２分 / JR神田駅東口 徒歩4分,"いわしカレー ランチ￥1,200／ディナー￥1,500 / いわし刺身 ￥880 / いわし丸干し￥650",平日ランチ 11:00～13:30（LO） / 平日ディナー 16:30～21:00（LO） / 土曜ディナー 16:30～20:00（LO）,日・祝、GW、お盆、年末年始,03-3252-6540,調整可能,あり,54,,https://kanda-curry.com/?p=14295
お茶の水、大勝軒,その他・オリジナル,35.694659,139.762134,"〒101-0052
千代田区神田小川町 3-1-5 須田ビル1F",地下鉄 神保町駅 A7出口 / 地下鉄 小川町、新御茶ノ水、淡路町 B7出口 / JR御茶ノ水駅 御茶ノ水橋口,"復刻版カツライスカレー ￥1,400 / 復刻版 カレー中華 ￥1,300 / 復刻版 もりカレー ￥1,300",11:00～21:00（LO）,月、お盆、年末年始,03-3291-9933,普通,あり,55,,https://kanda-curry.com/?p=4981
cafe ＆ dining jimbocho,その他・オリジナル,35.694009,139.762715,千代田区神田小川町3-11-2 インペリアルお茶の水2F,地下鉄新御茶ノ水駅 B7出口 徒歩4分 / 地下鉄小川町駅 A6出口 徒歩5分,"ベルモットと柑橘薫るキーマカレー（写真はディナー） / ディナー￥1,650／ランチ￥1,480〜￥1,860 / ランチBセット（サラダバー、ドリンクバー、スープ付） ￥1,580 / GPカレー ディナー￥1,650／ランチ￥1,280",ランチ 11:30～15:00（LO14:30） / ディナー 18:00～22:00（LO21:00）,土・日・祝、お盆、年末年始,03-5577-6933,やや辛い,あり,55,,https://kanda-curry.com/?p=11204
カリーライス専門店 エチオピア本店,その他・オリジナル,35.696365,139.761404,〒101-0052千代田区神田小川町3-10-6,都営新宿線・三田線、東京メトロ半蔵門線 神保町駅A5出口から徒歩3分 / 東京メトロ千代田線小川町駅B5出口から徒歩4分 / JR御茶ノ水駅御茶ノ水橋口から徒歩5分,"チキンカリー ￥1,050 / 野菜・ 豆カリー ￥1,150 / インド豆のサラダ ￥250",月～土 10:10～22:30（LO 22:00） / 日・祝 10:00～21:30（LO 21:00）,無休,03-3295-4310,0（中辛）～3（辛口）～70倍,あり,55,,https://kanda-curry.com/?p=499
カレー食堂 たんど～る,その他・オリジナル,35.695089,139.760393,千代田区神田神保町1-25-5 ベラージュ駿河台1F,地下鉄 神保町駅A7出口 徒歩3分,"房総ポーク煮込カレー ¥1,380 / トマトチキンカレー ￥980 / プレーンカレー ¥680",ランチ 11:30～14:30（LO） / 月～土ディナー 17:00～21:00（LO） / 日・祝ディナー 17:00～20:00（LO）,年末年始,03-6811-0623,調節可能,あり,56,,https://kanda-curry.com/?p=15425
カレーショップ C&C 秋葉原店,その他・オリジナル,35.698475,139.775192,千代田区神田佐久間町1-24 GATO秋葉原ビル,JR秋葉原駅 昭和通り口 徒歩2分 / 地下鉄岩本町駅 A3出口 徒歩4分,"米沢牛ビーフカレー ￥1,800 / 三元豚ロースかつカレー ￥880 / プレーンカレー ￥600",平日 10:00～22:00（LO） / 土 10:00～21:00（LO） / 日祝 10:00～20:00（LO）,年末年始,03-3256-7879,調整可能,あり,56,概算,https://kanda-curry.com/?p=1752
カレーショップ C&C 有楽町店,その他・オリジナル,35.675251,139.763916,千代田区有楽町2-9-14 JR有楽町駅京橋口改札前,JR有楽町駅京橋口 徒歩1分  / 地下鉄有楽町駅D7出口 徒歩1分,"メインメニュー名： / ザ・とんかつカレー ￥1,250 / その他 / 欧風ビーフカレー ￥800 / 朝カレー ￥480（LO11:00）",平日 7:00～ 23:00（LO） / 土日祝 9:00 ～ 21:00（LO）,年末年始,03-3240-9599,やや辛い,あり,56,,https://kanda-curry.com/?p=19828
カレー屋ばんび,その他・オリジナル,35.696388,139.761267,千代田区神田小川町3-10-17 木邑ビル 1F,地下鉄神保町駅 A5出口 徒歩4分,"セレブカレー ¥1,600 / ポークカレー ¥1,250 / グリーンカレー ¥1,250",月～土ランチ 11:00～14:45（LO） / 月～土ディナー 17:00～22:00（LO） / 日祝ランチ 11:00～14:30（LO）,不定休,03-3233-0034,中辛,あり,57,,https://kanda-curry.com/?p=911
喫茶センター（神保町ブックセンター内）,その他・オリジナル,35.695749,139.757555,千代田区神田神保町2-3-1,地下鉄 神保町駅A6出口 徒歩30秒,"センターカレー ￥1,000 / カオマンガイ ￥1,250 / サバライス ￥1,250",平日 9:00～18:00（LO） / 土日祝 10:00～18:00（LO） / ※食事提供は11時から,不定休、年末年始,03-6268-9064,中辛,あり,57,,https://kanda-curry.com/?p=8272
喫茶ちそう,その他・オリジナル,35.695627,139.760783,千代田区神田神保町1-1 三省堂書店神田神保町本店3F,地下鉄神保町駅A7出口 徒歩4分,"カレー ￥1,100 / その他 / マーズサンド ￥1,100 / コンビーフサンド ￥1,600",10:00～20:00（LO19:00）,年始,03-6826-9542,中辛,なし,57,,https://kanda-curry.com/?p=19804
キッチンカロリー駿河台下本店,その他・オリジナル,35.696171,139.761345,千代田区神田小川町3-10 江本ビル1F,"JR御茶ノ水駅 お茶の水橋口 徒歩6分 / 地下鉄神保町駅 A5出口 徒歩5分","ロースカツカレー・エビフライトッピング ￥1,900 / 米沢豚のロースカツカレー ¥1,400 / カロリー焼 ¥1,000",11:00～16:00（LO）,木曜日、お盆、年末年始,03-3291-3266,普通,あり,58,,https://kanda-curry.com/?p=618
キッチンサウナ ＠サウナラボ神田,その他・オリジナル,35.692255,139.759576,千代田区神田錦町3-9 神田ポートビル,地下鉄 神保町駅A9出口 徒歩4分  / 地下鉄 竹橋駅3b出口 徒歩4分,"メインメニュー名： / ハーブのココナッツカレー ¥1,300 / その他 / カレー&ハーブティーセット ¥1,500 / カレー&ハーブティー＆サウナ90分セット ¥3,700",水曜日 11:30～20:00（LO） / 木金土日 11:30～15:00（LO） / （祝日も同じです）,月火、8/2,090-6591-5858,やや辛い,あり,58,,https://kanda-curry.com/?p=19818
kitchen 723,その他・オリジナル,35.69396,139.772154,千代田区鍛冶町2-11-17c-3,JR神田駅 東口徒歩3分 / 地下鉄岩本町駅 A1出口 徒歩4分,"ふわとろチーズチキンカレー ランチ￥ 1,500 / ふわとろチーズチキンカレー ディナー ￥1,900 / ちょい呑みセット ￥1,500",火～金ランチ 11:30～14:30（LO14:00） / 月～土ディナー 18:00～23:00（LO22:30）,日・祝、祝日の翌日のランチ、お盆、年末年始,070-1370-8712,中辛,あり,58,,https://kanda-curry.com/?p=8278
くずしわしょく香季庵 日本橋店,その他・オリジナル,35.689759,139.772249,中央区日本橋室町4-2-10 坂田ビルB1F,JR 神田駅 南口より徒歩3分 / 銀座線 神田駅 1番出口より徒歩4分 / 銀座線 三越前駅 A8出口より徒歩4分 / JR快速 新日本橋駅 2番出口より徒歩2分,"自家製 香季庵辛カレー（ランチのみ） ￥1,200 / 追いから揚げ ￥400 / ドリンク ￥300～",平日ランチ 11:30～15:00（LO14:30）,"土日祝、12/30～1/4 
 ※土日祝も営業する場合あり、スタンプラリー期間はスマホ版でお知らせいたします。",03-5551-0006,やや辛い,なし,59,,https://kanda-curry.com/?p=11437
Restaurant＆Wine グランタイム,その他・オリジナル,35.695223,139.76064,千代田区神田神保町1-19-1 1F,神保町駅 A7出口 徒歩3分,"エビとアサリのホワイトカレー ランチ￥1,450/ディナー￥1,550 / 房総ポーク生姜焼きバラ ランチ￥1,380/ディナー￥1,460 / 昭和レトロなオムレツパスタ ランチランチ￥1,480/ディナー￥1,680",月~金ランチ 11:30~16:30(LO16:00)  / 月~木ディナー 17:30~22:00(LO21:30) / 金ディナー 17:30~23:00(LO22:00)  / 土曜日 11:30~22:00(LO21:30)  / 日曜日 11:30~21:00(LO20:30),年末年始,03-6803-3966,調整可能,あり,59,,https://kanda-curry.com/?p=16738
KKRホテル東京,その他・オリジナル,35.690688,139.760616,千代田区 大手町1‐4‐1,東西線 竹橋駅 3b出口直結 / 都営地下鉄 神保町駅 A9出口徒歩5分,"ブラックビーフカレー ¥1,300(ランチのみ) / 朝食ブッフェ ¥3,500(朝食ブッフェのみ) / テイクアウトカレー ¥1,300(平日ディナーのみ)",朝食ブッフェ 6:45~9:00(LO8:30)  / 平日ランチ11:30~14:00(LO13:30)  / ※朝食ブッフェは土日祝日も営業しています。,お盆、年末年始,03-3287-2921,中辛,あり,59,,https://kanda-curry.com/?p=4573
ゴーゴーカレー 秋葉原1号店,その他・オリジナル,35.697724,139.774621,千代田区神田佐久間町1-16-1大橋ビル1F,JR秋葉原駅昭和通り口 徒歩2分,"メインメニュー名： / ゴリエもん中盛（M） ￥1,250 / その他 / ロースカツカレー中盛（M） ￥1,050 / チキンカツカレー中盛（M） ￥1,050",9:55～21:55（LO）,年中無休,03-5256-5525,調整可能,あり,60,,https://kanda-curry.com/?p=1746
ゴーゴーカレー 秋葉原中央通店,その他・オリジナル,35.699543,139.771133,千代田区外神田1-11-7,秋葉原駅電気街北口改札徒歩3分,"メジャーカレー中盛（M） ￥1,950 / ロースカツカレー中盛（M） ￥1,050 / チキンカツカレー中盛（M） ￥1,050",9:55～21:55（LO）,年中無休,03-6206-9855,中辛,あり,60,,https://kanda-curry.com/?p=1773
ゴーゴーカレー 神田駅南口パーク,その他・オリジナル,35.690875,139.771011,千代田区 鍛冶町2-1-2 鋭光ビル地下1F,JR神田駅南口すぐ,"ロースカツカレー （小盛）￥1,000 / ゴーゴーカレー （小盛）￥750 / メジャーカレー ￥1,900～",10:55～20:55（LO）,年中無休,03-6206-4355,中辛,あり,60,,https://kanda-curry.com/?p=2243
ご当地レトルトカレー専門店 カレーランド神保町店,その他・オリジナル,35.697018,139.75592,千代田区神田神保町2-10-1,地下鉄神保町駅A4徒歩2分,ご当地レトルトカレー約200種類 ￥490～ / カレーランドオリジナルレトルトカレー 多種 / 共同開発レトルトカレー 多種,13:00～17:00（変動可能性あり） / ※Googlemapで最新の営業日時をご確認ください。,"金・日、不定休あり
※Googlemapで最新の営業日時をご確認ください。",090-1964-4605,調整可能,あり,61,概算,https://kanda-curry.com/?p=18189
Komi'z,その他・オリジナル,35.69316,139.770699,千代田区神田鍛冶町3-3 カリガネビル2F,JR神田駅北口・東口 徒歩2分 / 地下鉄小川町駅A2出口 徒歩6分,淡路島産丸ごと玉ねぎカレー ¥800 / 手仕込みカツカレー ¥900 / ねぎカレー ¥750,月～金 11:00 ～ 22:00（LO21:30）  / 土・祝 11:00 ～ 20:30（LO20:00）,日、年末年始,080-2047-7647,調整可能,あり,61,,https://kanda-curry.com/?p=13349
桜日和,その他・オリジナル,35.693947,139.75354,千代田区九段南1-2-1 千代田区役所10F食堂フロア,地下鉄九段下駅 6番出口徒歩4分 / 地下鉄神保町駅 A2出口徒歩7分,〔週替わり〕ぴかいちキーマカレー ￥800 / コーヒー（アイス/ホット） ￥350 / クラフトビール ￥650,ランチ 12:00～15:00（LO） / ディナー 17:00～20:00（LO19:45）,土日祝、年末年始,メールにて sakurabiyori.chiyoda@gmail.com,辛くない,あり,61,概算,https://kanda-curry.com/?p=18677
